tracking_dt_time,device_lat,device_long
06-06-2019 21:00,18.570275,73.910829
06-06-2019 21:01,18.570275,73.910829
06-06-2019 21:01,18.570277,73.910815
06-06-2019 21:01,18.570278,73.910808
06-06-2019 21:01,18.570278,73.910808
06-06-2019 21:01,18.570275,73.910833
06-06-2019 21:01,18.570275,73.910814
06-06-2019 21:02,18.570275,73.910814
06-06-2019 21:02,18.570274,73.910814
06-06-2019 21:02,18.570276,73.910818
06-06-2019 21:03,18.570272,73.910797
06-06-2019 21:03,18.570271,73.910797
06-06-2019 21:03,18.570271,73.910797
06-06-2019 21:03,18.57033,73.91077
06-06-2019 21:03,18.570323,73.910768
06-06-2019 21:03,18.570312,73.910781
06-06-2019 21:04,18.570307,73.910787
06-06-2019 21:04,18.570296,73.910801
06-06-2019 21:54,18.567745,73.916521
06-06-2019 21:54,18.567755,73.916433
06-06-2019 21:54,18.567804,73.916378
06-06-2019 21:54,18.567812,73.916347
06-06-2019 21:54,18.567825,73.916311
06-06-2019 21:54,18.567843,73.916253
06-06-2019 21:55,18.567838,73.916248
06-06-2019 21:55,18.567863,73.916262
06-06-2019 21:55,18.567867,73.916272
06-06-2019 21:55,18.567857,73.916299
06-06-2019 21:55,18.567857,73.916298
06-06-2019 21:55,18.567862,73.916287
06-06-2019 21:56,18.567877,73.91627
06-06-2019 21:56,18.567883,73.916262
06-06-2019 21:56,18.56788,73.916265
06-06-2019 21:56,18.567878,73.916266
06-06-2019 21:56,18.567857,73.916272
06-06-2019 21:56,18.567846,73.916276
06-06-2019 21:57,18.567837,73.916278
06-06-2019 21:57,18.567853,73.916299
06-06-2019 21:57,18.567855,73.916315
06-06-2019 21:57,18.567842,73.916322
06-06-2019 21:57,18.56785,73.916312
06-06-2019 21:57,18.567817,73.916313
06-06-2019 21:58,18.567814,73.916308
06-06-2019 21:58,18.567822,73.916273
06-06-2019 21:58,18.567833,73.916244
06-06-2019 21:58,18.567833,73.916244
06-06-2019 21:58,18.5678,73.916226
06-06-2019 21:58,18.567758,73.916235
06-06-2019 21:59,18.567766,73.916188
06-06-2019 22:07,18.567901,73.914398
06-06-2019 22:07,18.56792,73.914293
06-06-2019 22:07,18.56792,73.914167
06-06-2019 22:07,18.56792,73.914163
06-06-2019 22:08,18.567927,73.914019
06-06-2019 22:08,18.56794,73.913998
06-06-2019 22:08,18.567959,73.913984
06-06-2019 22:10,18.567981,73.913613
06-06-2019 22:11,18.567981,73.913615
06-06-2019 22:11,18.567976,73.913568
06-06-2019 22:11,18.567956,73.91356
06-06-2019 22:11,18.567999,73.913566
06-06-2019 22:11,18.568065,73.913554
06-06-2019 22:11,18.568017,73.91346
06-06-2019 22:12,18.568005,73.913361
06-06-2019 22:12,18.567988,73.913249
06-06-2019 22:12,18.567997,73.913212
06-06-2019 22:12,18.568054,73.91316
06-06-2019 22:13,18.568128,73.912674
06-06-2019 22:13,18.568121,73.912627
06-06-2019 22:13,18.568089,73.912492
06-06-2019 22:14,18.568089,73.91249
06-06-2019 22:14,18.568065,73.912361
06-06-2019 22:14,18.568085,73.91235
